Model,Metric,Pathway A (Features),Pathway B (PCA),Difference (A - B)
Logistic Regression,Accuracy,0.7417,0.7374,0.0043
Logistic Regression,Precision,0.5088,0.5036,0.0053
Logistic Regression,Recall,0.7701,0.7567,0.0134
Logistic Regression,F1-Score,0.6128,0.6047,0.0081
Logistic Regression,AUC-ROC,0.837,0.8286,0.0083
Random Forest,Accuracy,0.7779,0.7516,0.0263
Random Forest,Precision,0.5801,0.5299,0.0502
Random Forest,Recall,0.5909,0.5695,0.0214
Random Forest,F1-Score,0.5854,0.549,0.0365
Random Forest,AUC-ROC,0.8171,0.792,0.0251
XGBoost,Accuracy,0.7771,0.7523,0.0248
XGBoost,Precision,0.5785,0.5271,0.0514
XGBoost,Recall,0.5909,0.6497,-0.0588
XGBoost,F1-Score,0.5847,0.582,0.0026
XGBoost,AUC-ROC,0.8236,0.8099,0.0137
